Dataset,Nodes,Edges,Features,Fraud Rate,Imbalance Ratio,Homophily,Adj. Homophily,Fraud Homophily,Feature Pred (LR),Feature Pred (RF),Graph Utility,Density,Avg Degree,Clustering Coef,LP Accuracy,Feat-Label Corr,Neighbor Entropy
Elliptic,203769,234355,165,0.09760759384932566,9.245104510451045,0.9536915683704674,0.7371239393605776,0.5096618357487923,0.931099947999983,0.958800721373361,1.826855811970507e-05,5.644170528459417e-06,2.3002026804862368,0.017593943154056685,0.8356348330864752,0.06517501797263756,0.8785317915930604
Amazon,11944,9557648,25,0.06873744139316812,13.548112058465286,0.9543251645174629,0.643235616684739,0.10236067733020253,0.9650900585933503,0.9568315329485282,0.004109561013488139,0.06700200589998294,1600.4099129269925,0.5089162213903755,0.7931486539781772,0.2147763491272508,0.20117747878380882
Yelp,45954,8051348,32,0.14529747138442792,5.882432230043433,0.7731199794121432,0.08653226487112248,0.1962062665933265,0.6333723995836528,0.6431155210731577,0.05176376322628995,0.0038126892445908378,350.40901771336553,0.7738745632799728,0.637900635124038,0.0620116050309006,0.5611590837019688
Bitcoin-OTC,32,41,6,0.0,32.0,1.0,0.0,0.0,0.5,,0.0,0.04133064516129032,2.5625,0.20932539682539683,,0.0,0.0
Bitcoin-Alpha,32,41,6,0.0,32.0,1.0,0.0,0.0,0.5,,0.0,0.04133064516129032,2.5625,0.20932539682539683,,0.0,0.0
IEEE-CIS,100000,190284,401,0.03597,26.80094523213789,0.942906392550083,0.17675992768880777,0.27607419940350697,0.8106723045364945,0.8304438858688562,0.023631228091314793,1.9028590285902858e-05,3.80568,0.7088879602245938,0.5952017462416715,0.04542559732037401,0.8402229690558234
Customs,100000,7835974,14,0.07579,12.194352816994327,0.86076549003353,0.0061191456493013595,0.1622057308016319,0.9999999957165274,1.0,4.283472576638303e-09,0.0007836052360523605,156.71948,0.3572696356816747,0.7994663929194278,0.16024088022305333,0.3777886048621995
